Estimate_VolumeÅicm3Åj,Weight (kg)
73641.65,64.64
83218.1,65.36
90431.85,66.44
79050.54,60
68991.2,61.2
84318.02857,63.2
79143.3,64.2
80463.6,66.2
92385.7,67.67
81041.83333,68.41
94561.18,69.15
94845,69.89
96991.3,70.63
107866.0333,72.2
92793.95714,73.8
98381.725,74.6
126597,75.4
114017,76.2
112007.75,77
97365.225,82
133833,84
108476.38,86.6
98760.08,86.6
111679,95.2
72091.06667,53.4
73135.6,56.1
87017.21429,57
82536.85,57.9
61240.8,46.73333333
57056.875,47.9
94214.48,82.2
101173.7,72.06666667
110939.6111,74.4
90964.69167,75.4
95881,76.4
41525.6,33.3
69418.74091,42.7
64534,42.9
65655.425,44.3
71899.74872,45
58241.95789,45.7
66981.244,46.4
64716.67143,47.1
83553.05,47.8
64055.8,47.8
78514.58,47.8
71750.225,50.35
76323.5,59.2
81899.425,64
65706.02222,46.7
102144.92,72.6
32444.65,31.5
45781.36061,34.4
99414.33,59.8
46218.32857,31.8
45203.49286,34.95
85025.15,61
49544.01333,32.1
40120.6,35.5
99844.73333,62.2
35454.56667,32.4
41248.75,36.5
81523.02308,63.4
135379.3,96.7
101819.6917,79.24
94882.3,60.16
125225,98.2
107954,81.08
93499.3,54.24
114353,92.14
78687.4,56.8
95011.7,93.16
98122.46667,52.64
72256.79,57.4
111579.5,94.52
104457,81.24
67976.95,58.6
